codigo,nombre,departamento
05002,ABEJORRAL,Antioquia
54003,ABREGO,Norte de Santander
05004,ABRIAQUÍ,Antioquia
50006,ACACÍAS,Meta
27006,ACANDÍ,Chocó
41006,ACEVEDO,Huila
13006,ACHÍ,Bolívar
41013,AGRADO,Huila
25001,AGUA DE DIOS,Cundinamarca
20011,AGUACHICA,Cesar
68013,AGUADA,Santander
17013,AGUADAS,Caldas
85010,AGUAZUL,Casanare
20013,AGUSTÍN CODAZZI,Cesar
41016,AIPE,Huila
25019,ALBÁN,Cundinamarca
52019,ALBÁN,Nariño
18029,ALBANIA,Caquetá
44035,ALBANIA,La Guajira
68020,ALBANIA,Santander
76020,ALCALÁ,Valle del Cauca
52022,ALDANA,Nariño
05021,ALEJANDRÍA,Antioquia
47030,ALGARROBO,Magdalena
41020,ALGECIRAS,Huila
19022,ALMAGUER,Cauca
15022,ALMEIDA,Boyacá
73024,ALPUJARRA,Tolima
41026,ALTAMIRA,Huila
27025,ALTO BAUDO,Chocó
13030,ALTOS DEL ROSARIO,Bolívar
73026,ALVARADO,Tolima
05030,AMAGÁ,Antioquia
05031,AMALFI,Antioquia
73030,AMBALEMA,Tolima
25035,ANAPOIMA,Cundinamarca
52036,ANCUYÁ,Nariño
76036,ANDALUCÍA,Valle del Cauca
05034,ANDES,Antioquia
05036,ANGELÓPOLIS,Antioquia
05038,ANGOSTURA,Antioquia
25040,ANOLAIMA,Cundinamarca
05040,ANORÍ,Antioquia
17042,ANSERMA,Caldas
76041,ANSERMANUEVO,Valle del Cauca
05044,ANZA,Antioquia
73043,ANZOÁTEGUI,Tolima
05045,APARTADÓ,Antioquia
66045,APÍA,Risaralda
25599,APULO,Cundinamarca
15047,AQUITANIA,Boyacá
47053,ARACATACA,Magdalena
17050,ARANZAZU,Caldas
68051,ARATOCA,Santander
81001,ARAUCA,Arauca
81065,ARAUQUITA,Arauca
25053,ARBELÁEZ,Cundinamarca
52051,ARBOLEDA,Nariño
54051,ARBOLEDAS,Norte de Santander
05051,ARBOLETES,Antioquia
15051,ARCABUCO,Boyacá
13042,ARENAL,Bolívar
05055,ARGELIA,Antioquia
19050,ARGELIA,Cauca
76054,ARGELIA,Valle del Cauca
47058,ARIGUANÍ,Magdalena
13052,ARJONA,Bolívar
05059,ARMENIA,Antioquia
63001,ARMENIA,Quindio
73055,ARMERO,Tolima
13062,ARROYOHONDO,Bolívar
20032,ASTREA,Cesar
73067,ATACO,Tolima
27050,ATRATO,Chocó
23068,AYAPEL,Córdoba
27073,BAGADÓ,Chocó
27075,BAHÍA SOLANO,Chocó
27077,BAJO BAUDÓ,Chocó
19075,BALBOA,Cauca
66075,BALBOA,Risaralda
08078,BARANOA,Atlántico
41078,BARAYA,Huila
52079,BARBACOAS,Nariño
05079,BARBOSA,Antioquia
68077,BARBOSA,Santander
68079,BARICHARA,Santander
50110,BARRANCA DE UPÍA,Meta
68081,BARRANCABERMEJA,Santander
44078,BARRANCAS,La Guajira
13074,BARRANCO DE LOBA,Bolívar
94343,BARRANCO MINAS,Guainía
08001,BARRANQUILLA,Atlántico
20045,BECERRIL,Cesar
17088,BELALCÁZAR,Caldas
15087,BELÉN,Boyacá
52083,BELÉN,Nariño
27086,BELÉN DE BAJIRÁ,Chocó
18094,BELÉN DE LOS ANDAQUIES,Caquetá
66088,BELÉN DE UMBRÍA,Risaralda
05088,BELLO,Antioquia
05086,BELMIRA,Antioquia
25086,BELTRÁN,Cundinamarca
15090,BERBEO,Boyacá
05091,BETANIA,Antioquia
15092,BETÉITIVA,Boyacá
05093,BETULIA,Antioquia
68092,BETULIA,Santander
25095,BITUIMA,Cundinamarca
15097,BOAVITA,Boyacá
54099,BOCHALEMA,Norte de Santander
11001,BOGOTÁ,Bogotá D.C
25099,BOJACÁ,Cundinamarca
27099,BOJAYA,Chocó
19100,BOLÍVAR,Cauca
68101,BOLÍVAR,Santander
76100,BOLÍVAR,Valle del Cauca
20060,BOSCONIA,Cesar
15104,BOYACÁ,Boyacá
05107,BRICEÑO,Antioquia
15106,BRICEÑO,Boyacá
68001,BUCARAMANGA,Santander
54109,BUCARASICA,Norte de Santander
76109,BUENAVENTURA,Valle del Cauca
15109,BUENAVISTA,Boyacá
23079,BUENAVISTA,Córdoba
63111,BUENAVISTA,Quindio
70110,BUENAVISTA,Sucre
19110,BUENOS AIRES,Cauca
52110,BUESACO,Nariño
76113,BUGALAGRANDE,Valle del Cauca
05113,BURITICÁ,Antioquia
15114,BUSBANZÁ,Boyacá
25120,CABRERA,Cundinamarca
